,ingredient_id,recipe_id,ingredient_name,original_ingredient_amount,original_ingredient_unit,ingredient_remainder,recipe_source,new_ingredient_amount,new_ingredient_unit,common_ingredient_name,ingredient_category,default_unit
0,Y001_00,Y001,rice noodles,12.0,oz.,(dried flat),yummly,12.0,ounce,rice noodle,noodle / spaghetti,ounce
1,Y001_01,Y001,vegetable oil,2.0,Tbsp.,(divided),yummly,2.0,tablespoon,vegetable oil,oil,tablespoon
2,Y001_02,Y001,chicken breast,1.5,lb.,(cut into 1-inch cubes),yummly,24.0,ounce,chicken breast,meat,ounce
3,Y001_03,Y001,lime juice,0.25,cup,(freshly squeezed),yummly,4.0,tablespoon,lime juice,lime / lemon,tablespoon
4,Y001_04,Y001,fish sauce,2.0,Tbsp.,,yummly,2.0,tablespoon,fish sauce,sauce / salt,tablespoon
5,Y001_05,Y001,soy sauce,2.0,Tbsp.,,yummly,2.0,tablespoon,soy sauce,sauce / salt,tablespoon
6,Y001_06,Y001,creamy peanut butter,2.0,Tbsp.,,yummly,2.0,tablespoon,peanut butter,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
7,Y001_07,Y001,sriracha,1.5,Tbsp.,,yummly,1.5,tablespoon,sriracha sauce,sauce / salt,tablespoon
8,Y001_08,Y001,tamarind concentrate,2.0,tsp.,,yummly,0.666666666,tablespoon,tamarind concentrate / tamarind paste / tamarind juice,herbs,tablespoon
9,Y001_09,Y001,granulated sugar,1.0,tsp.,,yummly,0.333333333,tablespoon,white sugar,sugar / sweeteners / syrup,tablespoon
10,Y001_10,Y001,thai chiles,1.0,Tbsp.,"(finely chopped, plus more for garnish, if you don't like spicy, you can use less or cut out altogether)",yummly,3.0,unit,thai chili,chili / pepper,unit
11,Y001_11,Y001,red bell pepper,1.0,,(thinly sliced),yummly,1.0,unit,bell pepper,chili / pepper,unit
12,Y001_12,Y001,shredded carrots,1.0,cup,,yummly,1.0,cup,carrot,vegetable,cup
13,Y001_13,Y001,large garlic cloves,2.0,,(minced),yummly,2.0,clove,garlic,herbs,clove
14,Y001_14,Y001,large eggs,3.0,,(lightly beaten),yummly,3.0,unit,egg,egg,unit
