,recipe_source,recipe_id,recipe_name,recipe_creator_name,recipe_ratings,recipe_num_of_reviewers,recipe_num_saved,recipe_link,recipe_ratings_normalized
0,yummly,Y001,Chicken Pad Thai,WE ARE NOT MARTHA,4.5,32,6000.0,https://www.yummly.com/recipe/Chicken-Pad-Thai-2631301,0.5248736998514116
1,yummly,Y002,Classic Pad Thai,WILLIAMS SONOMA - TASTE,4.32,34,14000.0,https://www.yummly.com/recipe/Classic-Pad-Thai-2151767,0.5023736998514117
2,yummly,Y003,Pad Thai,THE ECCENTRIC COOK,4.0,5,2000.0,https://www.yummly.com/recipe/Pad-Thai-466684,0.46237369985141163
3,yummly,Y004,Quick and Easy Pad Thai,YUMMLY,3.5,2,961.0,https://www.yummly.com/recipe/Quick-and-Easy-Pad-Thai-9097944,0.39987369985141163
4,yummly,Y005,Chicken Pad Thai,MONASH FODMAP,5.0,1,305.0,https://www.yummly.com/recipe/Chicken-Pad-Thai-9094685,0.5873736998514116
5,yummly,Y006,Super Easy Pad Thai,SEE BROOKE COOK,4.83,6,644.0,https://www.yummly.com/recipe/Super-Easy-Pad-Thai-1756912,0.5661236998514116
6,yummly,Y007,Super Easy Pad Thai,TABLESPOON,5.0,2,1000.0,https://www.yummly.com/recipe/Super-Easy-Pad-Thai-2138543,0.5873736998514116
7,yummly,Y008,Shrimp Pad Thai,THE PALEO MOM,4.38,13,6000.0,https://www.yummly.com/recipe/Shrimp-Pad-Thai-2041820,0.5098736998514116
8,yummly,Y009,Pad Thai Soup,DOMESTIC FITS,3.0,1,2000.0,https://www.yummly.com/recipe/Pad-Thai-Soup-981689,0.33737369985141163
9,yummly,Y010,Shrimp Pad Thai,ONCE UPON A CHEF,4.86,7,1000.0,https://www.yummly.com/recipe/Shrimp-Pad-Thai-2034797,0.5698736998514117
10,yummly,Y011,Pad Thai,THE HUNGRY MOUSE,3.67,3,436.0,https://www.yummly.com/recipe/Pad-Thai-1764933,0.4211236998514116
11,yummly,Y012,Pad Thai,JO COOKS,5.0,3,2000.0,https://www.yummly.com/recipe/Pad-Thai-2256376,0.5873736998514116
