,common_ingredient_name,ingredient_category,default_unit,recipe_count
0,peanut,beans / peas / lentils / nuts / nut butter / seeds,tablespoon,153
1,garlic,herbs,clove,145
2,scallion / spring onion / green onion,vegetable,cup,144
3,rice noodle,noodle / spaghetti,ounce,124
4,bean sprout,vegetable,cup,121
5,soy sauce,sauce / salt,tablespoon,115
6,coriander / cilantro,herbs,tablespoon,113
7,egg,egg,unit,111
8,fish sauce,sauce / salt,tablespoon,95
9,carrot,vegetable,cup,86
10,lime juice,lime / lemon,tablespoon,77
11,lime wedge,lime / lemon,unit,67
12,peanut butter,beans / peas / lentils / nuts / nut butter / seeds,tablespoon,63
13,vinegar,vinegar,tablespoon,63
14,water,water,cup,53
15,brown sugar,sugar / sweeteners / syrup,tablespoon,51
16,chicken breast,meat,ounce,48
17,pepper,chili / pepper,unit,48
18,tamarind concentrate / tamarind paste / tamarind juice,herbs,tablespoon,45
19,shrimp,meat,ounce,45
20,sriracha sauce,sauce / salt,tablespoon,44
21,chili flakes,chili / pepper,teaspoon,43
22,vegetable oil,oil,tablespoon,42
23,lime,lime / lemon,unit,40
24,firm tofu,tofu,ounce,37
25,sugar,sugar / sweeteners / syrup,tablespoon,36
26,salt,sauce / salt,tablespoon,35
27,minced ginger,herbs,teaspoon,34
28,bell pepper,chili / pepper,unit,32
29,sesame oil,oil,tablespoon,31
30,olive oil,oil,tablespoon,30
31,zucchini / courgette / baby marrow,vegetable,unit,29
32,oil,oil,tablespoon,26
33,white sugar,sugar / sweeteners / syrup,tablespoon,22
34,canola oil,oil,tablespoon,21
35,chili sauce,sauce / salt,tablespoon,20
36,peanut oil,oil,tablespoon,19
37,cabbage,vegetable,cup,19
38,honey,sugar / sweeteners / syrup,tablespoon,18
39,onion,onion,cup,17
40,chinese chive,vegetable,cup,17
41,red chili,chili / pepper,unit,16
42,tofu,tofu,ounce,16
43,coconut aminos,sauce / salt,tablespoon,16
44,shallot,onion,cup,16
45,spaghetti squash,noodle / spaghetti,ounce,14
46,rice vermicelli,noodle / spaghetti,ounce,14
47,broccoli,vegetable,cup,14
48,chili garlic sauce,sauce / salt,tablespoon,13
