,recipe_source,recipe_id,recipe_name,recipe_ratings,recipe_ratings_normalized,peanut,garlic,scallion / spring onion / green onion,rice noodle,bean sprout,soy sauce,coriander / cilantro,egg,fish sauce,carrot
0,yummly,Y001,Chicken Pad Thai,4.5,0.5248736998514116,4.0,2.0,0.25,12.0,1.0,2.0,,3.0,2.0,1.0
1,yummly,Y002,Classic Pad Thai,4.32,0.5023736998514117,,1.0,0.5,7.0,1.0,,,3.0,6.0,1.333333333
2,yummly,Y003,Pad Thai,4.0,0.46237369985141163,3.0,5.0,0.041666666,5.6438336,1.0,0.666666666,,2.0,0.666666666,0.666666667
3,yummly,Y004,Quick and Easy Pad Thai,3.5,0.39987369985141163,5.333333328,,0.5,,1.5,,,2.0,4.0,
4,yummly,Y005,Chicken Pad Thai,5.0,0.5873736998514116,,3.0,0.75,8.81849,1.0,4.0,16.0,2.0,0.333333333,0.666666667
5,yummly,Y006,Super Easy Pad Thai,4.83,0.5661236998514116,8.0,,0.75,7.0,1.0,3.0,16.0,2.0,1.0,
6,yummly,Y007,Super Easy Pad Thai,5.0,0.5873736998514116,8.0,,0.75,7.0,1.0,3.0,16.0,2.0,1.0,
7,yummly,Y008,Shrimp Pad Thai,4.38,0.5098736998514116,,2.0,0.75,,,,8.0,,4.0,3.0
8,yummly,Y009,Pad Thai Soup,3.0,0.33737369985141163,4.0,2.0,0.25,4.0,,3.0,,1.0,1.0,
9,yummly,Y010,Shrimp Pad Thai,4.86,0.5698736998514117,4.0,4.0,1.0,8.0,1.0,2.0,8.0,2.0,5.0,
10,yummly,Y011,Pad Thai,3.67,0.4211236998514116,16.0,,1.0,12.0,2.25,,2.0,4.0,1.0,
11,yummly,Y012,Pad Thai,5.0,0.5873736998514116,4.0,3.0,,6.0,1.0,,2.0,2.0,2.0,
12,yummly,Y013,Pad Thai,5.0,0.5873736998514116,4.0,1.5,0.666666667,8.0,1.0,,,2.0,4.0,
13,yummly,Y014,Chicken Pad Thai,3.33,0.37862369985141164,8.0,4.0,1.0,,0.5,1.5,,1.0,,
14,yummly,Y015,Easy Pad Thai,5.0,0.5873736998514116,5.333333328,1.0,0.75,8.0,3.0,1.0,8.0,2.0,,0.5
15,yummly,Y016,Chicken Pad Thai,4.0,0.46237369985141163,4.0,,0.75,8.0,0.5,3.0,,2.0,0.666666666,
16,yummly,Y017,Zoodle Pad Thai,5.0,0.5873736998514116,8.0,3.0,0.75,,2.0,2.0,,1.0,2.0,
