,recipe_id,ingredient_name,ingredient_amount,ingredient_unit,ingredient_remainder
0,1,"spaghetti squash, halved and seeded",1.0,small,
1,1,chicken broth,1.5,cups,
2,1,peanut butter,3.0,tablespoons,
3,1,chile-garlic sauce,1.0,tablespoon,
4,1,fish sauce,1.0,tablespoon,
5,1,soy sauce,1.0,tablespoon,
6,1,rice vinegar,1.0,tablespoon,
7,1,oyster sauce,1.0,tablespoon,
8,1,minced fresh ginger,1.0,teaspoon,
9,1,sesame oil,1.0,teaspoon,
10,1,ground black pepper,0.25,teaspoon,
11,1,cold water,3.0,tablespoons,
12,1,cornstarch,1.0,tablespoon,
13,1,olive oil,2.0,tablespoons,
14,1,broccoli coleslaw mix,1.0,(12 ounce) package,
15,1,"zucchini, diced",1.0,,
16,1,"red bell pepper, diced",1.0,,
17,1,sliced green onions,0.5,cup,
18,1,chopped fresh cilantro,0.25,cup,
19,1,cubed cooked chicken breasts,2.0,,
0,2,bean sprouts,0.75,pound,
1,2,pad thai rice noodles,6.0,ounces,
2,2,eggs,4.0,,
3,2,salt,1.0,pinch,
4,2,lime juice,3.0,tablespoons,
5,2,ketchup,3.0,tablespoons,
6,2,brown sugar,1.0,tablespoon,
7,2,fish sauce,0.25,cup,
8,2,peanut oil,3.0,tablespoons,
9,2,minced garlic,1.0,tablespoon,
10,2,red pepper flakes,1.5,teaspoons,
11,2,grated carrots,2.0,cups,
12,2,chopped peanuts,0.6666666666666666,cup,
13,2,green onions cut into 1-inch pieces,1.0,cup,
0,3,medium-sized dried rice noodles,1.0,(8 ounce) package,
1,3,soy sauce,4.0,tablespoons,
2,3,cornstarch,4.0,teaspoons,
3,3,1/2-inch wide strips of raw chicken breast,1.5,cups,
4,3,white sugar,0.25,cup,
5,3,fish sauce,0.25,cup,
6,3,tamarind juice,2.0,tablespoons,
7,3,lime juice,1.0,tablespoon,
8,3,"canola or peanut oil, divided",3.0,tablespoons,
9,3,minced garlic,0.75,teaspoon,
10,3,eggs,2.0,,
11,3,white sugar,0.75,tablespoon,
12,3,salt,0.75,teaspoon,
13,3,chopped unsalted dry-roasted peanuts,0.75,cup,
14,3,chili powder,0.5,teaspoon,
15,3,chopped fresh chives,0.25,cup,
16,3,fresh bean sprouts,1.0,cup,
0,4,rice noodles,1.0,(12 ounce) package,
1,4,butter,2.0,tablespoons,
2,4,"boneless, skinless chicken breast halves, cut into bite-sized pieces",1.0,pound,
3,4,vegetable oil,0.25,cup,
4,4,eggs,4.0,,
5,4,white sugar,3.0,tablespoons,
6,4,fish sauce,2.0,tablespoons,
7,4,white wine vinegar,1.0,tablespoon,
8,4,crushed red pepper,0.125,tablespoon,
9,4,bean sprouts,2.0,cups,
10,4,"green onions, chopped",3.0,,
11,4,crushed peanuts,0.25,cup,
12,4,"lemon, cut into wedges",1.0,,
0,5,white sugar,0.5,cup,
1,5,distilled white vinegar,0.5,cup,
2,5,soy sauce,0.25,cup,
3,5,tamarind pulp,2.0,tablespoons,
4,5,dried rice noodles,1.0,(12 ounce) package,
5,5,vegetable oil,0.5,cup,
6,5,minced garlic,1.5,teaspoons,
7,5,eggs,4.0,,
8,5,"firm tofu, cut into 1/2 inch strips",1.0,(12 ounce) package,
9,5,white sugar,1.5,tablespoons,
10,5,salt,1.5,teaspoons,
