,recipe_id,recipe_name,recipe_creator_name,recipe_ratings,recipe_num_of_reviewers,recipe_num_saved,recipe_link
0,1,Chicken Pad Thai,WE ARE NOT MARTHA,4.5,32,6000,https://www.yummly.com/recipe/Chicken-Pad-Thai-2631301
0,2,Classic Pad Thai,WILLIAMS SONOMA - TASTE,4.32,34,14000,https://www.yummly.com/recipe/Classic-Pad-Thai-2151767
0,3,Pad Thai,THE ECCENTRIC COOK,4,5,2000,https://www.yummly.com/recipe/Pad-Thai-466684
0,4,Quick and Easy Pad Thai,YUMMLY,3.5,2,961,https://www.yummly.com/recipe/Quick-and-Easy-Pad-Thai-9097944
0,5,Chicken Pad Thai,MONASH FODMAP,5,1,305,https://www.yummly.com/recipe/Chicken-Pad-Thai-9094685
0,6,Super Easy Pad Thai,SEE BROOKE COOK,4.83,6,644,https://www.yummly.com/recipe/Super-Easy-Pad-Thai-1756912
0,7,Super Easy Pad Thai,TABLESPOON,5,2,1000,https://www.yummly.com/recipe/Super-Easy-Pad-Thai-2138543
0,8,Shrimp Pad Thai,THE PALEO MOM,4.38,13,6000,https://www.yummly.com/recipe/Shrimp-Pad-Thai-2041820
0,9,Pad Thai Soup,DOMESTIC FITS,3,1,2000,https://www.yummly.com/recipe/Pad-Thai-Soup-981689
0,10,Shrimp Pad Thai,ONCE UPON A CHEF,4.86,7,1000,https://www.yummly.com/recipe/Shrimp-Pad-Thai-2034797
0,11,Pad Thai,THE HUNGRY MOUSE,3.67,3,436,https://www.yummly.com/recipe/Pad-Thai-1764933
0,12,Pad Thai,JO COOKS,5,3,2000,https://www.yummly.com/recipe/Pad-Thai-2256376
0,13,Pad Thai,BOOKCOOKER,5,1,420,https://www.yummly.com/recipe/Pad-Thai-1753549
0,14,Chicken Pad Thai,LADY BEHIND THE CURTAIN,3.33,3,417,https://www.yummly.com/recipe/Chicken-Pad-Thai-1114162
0,15,Easy Pad Thai,FOOD APPAREL,5,3,607,https://www.yummly.com/recipe/Easy-Pad-Thai-1065945
0,16,Chicken Pad Thai,SKRATCH LABS,4,1,308,https://www.yummly.com/recipe/Chicken-Pad-Thai-1552114
