,recipe_id,recipe_link
0,1,https://www.allrecipes.com/recipe/238876/spaghetti-squash-pad-thai/
1,2,https://www.allrecipes.com/recipe/68129/dads-pad-thai/
2,3,https://www.allrecipes.com/recipe/272276/chicken-pad-thai-with-peanut-sauce/
0,4,https://www.allrecipes.com/recipe/42968/pad-thai/
1,5,https://www.allrecipes.com/recipe/19306/sukhothai-pad-thai/
2,6,https://www.allrecipes.com/recipe/109334/a-pad-thai-worth-making/
3,7,https://www.allrecipes.com/recipe/222350/authentic-pad-thai/
4,8,https://www.allrecipes.com/recipe/220134/authentic-pad-thai-noodles/
5,9,https://www.allrecipes.com/recipe/217811/classic-pad-thai/
6,10,https://www.allrecipes.com/recipe/87313/toronto-pad-thai/
7,11,https://www.allrecipes.com/recipe/280886/classic-chicken-pad-thai/
8,12,https://www.allrecipes.com/recipe/276824/easy-pad-thai-with-shrimp-and-hillshire-farm-smoked-sausage/
0,13,https://www.allrecipes.com/recipe/246110/zucchini-noodles-pad-thai/
1,14,https://www.allrecipes.com/recipe/220131/nicolas-pad-thai/
2,15,https://www.allrecipes.com/recipe/220424/okinawan-style-pad-thai/
3,16,https://www.allrecipes.com/recipe/263384/spicy-shrimp-pad-thai/
4,17,https://www.allrecipes.com/recipe/246141/pad-thai-with-tofu/
5,18,https://www.allrecipes.com/recipe/246140/pad-thai-noodles/
6,19,https://www.allrecipes.com/recipe/246138/carries-pad-thai-salad/
7,20,https://www.allrecipes.com/recipe/244716/shirataki-meatless-meat-pad-thai/
8,21,https://www.allrecipes.com/recipe/220124/joes-fusion-chicken-pad-thai/
9,22,https://www.allrecipes.com/recipe/264652/soy-free-chicken-pad-thai/
0,23,https://www.allrecipes.com/recipe/245372/pad-thai-quinoa-bowl/
1,24,https://www.allrecipes.com/recipe/220406/raw-pad-thai/
2,25,https://www.allrecipes.com/recipe/263385/simple-shrimp-pad-thai/
