,recipe_id,recipe_name,recipe_creator_name,recipe_ratings,recipe_num_saved,recipe_link
0,1,Chicken Pad Thai,We are not Martha,4.5,6000,https://www.yummly.com/recipe/Chicken-Pad-Thai-2631301
1,2,Classic Pad Thai,Williams Sonoma - Taste,4.32,14000,https://www.yummly.com/recipe/Classic-Pad-Thai-2151767
2,3,Pad Thai,The Eccentric Cook,4.0,2000,https://www.yummly.com/recipe/Pad-Thai-466684
3,4,Quick and Easy Pad Thai,Yummly,3.5,961,https://www.yummly.com/recipe/Quick-and-Easy-Pad-Thai-9097944
4,5,Chicken Pad Thai,Monash Fodmap,5.0,305,https://www.yummly.com/recipe/Chicken-Pad-Thai-9094685
5,6,Super Easy Pad Thai,See Brooke Cook,4.83,644,https://www.yummly.com/recipe/Super-Easy-Pad-Thai-1756912
6,7,Super Easy Pad Thai,Tablespoon,5.0,1000,https://www.yummly.com/recipe/Super-Easy-Pad-Thai-2138543
7,8,Shrimp Pad Thai,The Paleo Mom,4.38,6000,https://www.yummly.com/recipe/Shrimp-Pad-Thai-2041820
8,9,Pad Thai Soup,Domestic Fits,3.0,2000,https://www.yummly.com/recipe/Pad-Thai-Soup-981689
9,10,Shrimp Pad Thai,Once Upon A Chef,4.86,1000,https://www.yummly.com/recipe/Shrimp-Pad-Thai-2034797
10,11,Pad Thai,The Hungry Mouse,3.67,436,https://www.yummly.com/recipe/Pad-Thai-1764933
11,12,Pad Thai,Jo Cooks,5.0,2000,https://www.yummly.com/recipe/Pad-Thai-2256376
12,13,Pad Thai,Bookcooker,5.0,420,https://www.yummly.com/recipe/Pad-Thai-1753549
13,14,Chicken Pad Thai,Lady Behind the Curtain,3.33,417,https://www.yummly.com/recipe/Chicken-Pad-Thai-1114162
14,15,Easy Pad Thai,Food Apparel,5.0,607,https://www.yummly.com/recipe/Easy-Pad-Thai-1065945
15,16,Chicken Pad Thai,Skratch Labs,4.0,308,https://www.yummly.com/recipe/Chicken-Pad-Thai-1552114
16,17,Zoodle Pad Thai,White on Rice Couple,5.0,601,https://www.yummly.com/recipe/Zoodle-Pad-Thai-682706
17,18,Easy Vegetable Pad Thai,Veggie Belly,4.5,507,https://www.yummly.com/recipe/Easy-Vegetable-Pad-Thai-1030393
18,19,Pad Thai Noodles,Venturists,4.0,285,https://www.yummly.com/recipe/Pad-Thai-Noodles-1367140
19,20,Easy Pad Thai,Cook with Campbell's,3.5,102,https://www.yummly.com/recipe/Easy-Pad-Thai-2545751
20,21,Quick Shrimp Pad Thai,Food and Wine,2.67,880,https://www.yummly.com/recipe/Quick-Shrimp-Pad-Thai-1095426
