common_ingredient_name,ingredient_category,default_unit
almond,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
almond butter,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
broad bean,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
cashew,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
edamame,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
green bean,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
peanut,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
peanut butter,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
sesame,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
snap pea,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
snow pea,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
soy,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
sunflower butter,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
sunflower seed,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
beef broth,broth / stock,cup
broth,broth / stock,cup
chicken broth,broth / stock,cup
chicken stock,broth / stock,cup
vegetable broth,broth / stock,cup
vegetable stock,broth / stock,cup
butter,cheese / butter,tablespoon
cheese,cheese / butter,tablespoon
ghee,cheese / butter,tablespoon
bell pepper,chili / pepper,unit
chili,chili / pepper,teaspoon
chili flakes,chili / pepper,teaspoon
chili paste,chili / pepper,teaspoon
chili powder,chili / pepper,teaspoon
ground black pepper,chili / pepper,teaspoon
ground pepper,chili / pepper,teaspoon
paprika,chili / pepper,teaspoon
pepper,chili / pepper,unit
red chili,chili / pepper,unit
taco seasoning,chili / pepper,teaspoon
thai chili,chili / pepper,unit
thai red curry paste,chili / pepper,teaspoon
coconut milk,coconut milk,cup
egg,egg,unit
egg white,egg,unit
date palm,fruit / fruit juice,unit
juice,fruit / fruit juice,tablespoon
orange juice,fruit / fruit juice,unit
pineapple,fruit / fruit juice,tablespoon
clove,herbs,unit
coriander / cilantro,herbs,tablespoon
cumin powder,herbs,tablespoon
curry powder,herbs,tablespoon
galangal,herbs,tablespoon
garlic,herbs,clove
garlic powder,herbs,teaspoon
minced ginger,herbs,teaspoon
ground ginger,herbs,teaspoon
ginger garlic paste,herbs,teaspoon
kaffir lime leaf,herbs,tablespoon
lemongrass,herbs,tablespoon
mint,herbs,tablespoon
