ingredient_id,ingredient_name,ingredient_amount,ingredient_unit
Y001_10,,3,unit
Y002_00,,1,clove
Y002_02,,9,tablespoon
Y002_09,,0.0625,teaspoon
Y002_12,,1.333333333,cup
Y002_13,,1,cup
Y002_14,,0.5,cup
Y003_04,,0.666666667,cup
Y003_11,,0.0625,teaspoon
Y003_13,,0.0625,teaspoon
Y004_07,,0.5,cup
Y004_10,,6,ounce
Y005_06,,3,clove
Y005_07,,16,ounce
Y005_10,,1.5,teaspoon
Y005_12,,0.666666667,cup
Y005_14,,0.75,cup
Y005_16,lime wedge,,
Y006_12,,0.75,cup
Y007_11,,0.75,cup
Y008_05,,3,cup
Y008_08,,0.75,cup
Y010_13,,3.333333335,cup
Y010_14,,1,cup
Y011_06,,2,cup
Y011_12,,2.25,cup
Y011_13,,1,cup
Y011_15,lime wedge,,
Y012_06,,1,cup
Y012_15,shrimp,,
Y013_00,,8,ounce
Y013_06,,1.5,clove
Y013_12,,8,ounce
Y014_04,,1,cup
Y014_11,lime wedge,,
Y015_04,,0.5,teaspoon
Y015_06,,0.75,cup
Y016_11,,2,cup
Y016_13,,0.75,cup
Y016_17,lime wedge,,
Y017_05,,0.75,cup
Y018_09,,1.333333333,cup
Y018_10,,8,ounce
Y018_11,,0.333333333,cup
Y018_12,,0.5,cup
Y018_14,,0.5,tablespoon
Y018_15,lime wedge,,
Y019_07,,4,ounce
Y019_08,,3.6,ounce
Y020_11,,8,ounce
Y021_06,,2.25,cup
Y021_10,,1,cup
Y022_00,,1.875,cup
Y022_09,,2,cup
Y022_10,,1.5,cup
Y023_08,,1.25,cup
Y023_10,,1.333333333,cup
Y024_04,,2,cup
Y026_13,,1.5,teaspoon
Y027_11,,0.5,cup
Y027_12,,1,cup
Y028_12,,0.5,cup
Y028_15,,1.25,cup
Y031_02,,0.5,cup
Y031_06,,4,ounce
Y032_09,,18,tablespoon
Y033_04,,2.666666667,clove
Y033_05,,0.5,cup
Y033_08,firm tofu,6,ounce
Y033_11,,0.875,cup
Y034_00,,4,ounce
Y034_01,,4,cup
Y034_02,,1.333333333,cup
Y034_04,,0.5,cup
Y034_06,,0.125,tablespoon
Y034_10,,3,teaspoon
Y034_18,,5.333333333,tablespoon
Y035_08,,1.333333333,cup
Y035_10,,2,cup
Y037_11,,1,cup
Y038_03,,1.8,ounce
Y038_04,firm tofu,1,ounce
Y038_13,,0.5,unit
Y039_03,,6.666666667,tablespoon
Y039_04,,0.0625,teaspoon
Y039_08,,4,ounce
Y039_10,,0.25,cup
Y039_12,,0.881849768,cup
Y039_13,,0.5,cup
Y039_14,,6,tablespoon
Y040_00,,1.5,cup
Y041_11,,2,cup
Y041_12,,0.75,cup
Y042_01,,16,ounce
Y042_06,,4,ounce
Y042_09,,1,cup
Y044_02,,1.333333333,cup
Y044_04,,0.75,cup
Y044_06,,3.5,cup
Y045_04,,1.5,pound
Y045_11,,1,cup
Y046_04,,1,cup
Y047_02,,1.5,cup
Y047_04,,3.6,teaspoon
Y047_08,,10,tablespoon
Y047_10,,1.763699536,cup
Y047_11,,0.375,cup
Y047_14,,1.05,tablespoon
Y047_15,,6,tablespoon
Y047_16,lime wedge,,
Y048_12,,0.5,cup
Y050_09,lime juice,2,tablespoon
Y051_00,,10,ounce
Y053_00,,125,gram
Y053_10,,0.5,clove
Y054_02,,1.333333333,cup
Y054_04,,0.75,cup
Y054_07,,7.5,ounce
Y056_12,,1,cup
Y056_13,,2,cup
Y056_18,lime wedge,,
Y057_00,,3.5,ounce
