original_ingredient_name,common_ingredient_name
rice noodles,rice noodle
vegetable oil,vegetable oil
chicken breast,chicken breast
lime juice,lime juice
fish sauce,fish sauce
soy sauce,soy sauce
creamy peanut butter,peanut butter
sriracha,sriracha sauce
tamarind concentrate,tamarind concentrate / tamarind paste / tamarind juice
granulated sugar,white sugar
thai chiles,thai chili
red bell pepper,bell pepper
shredded carrots,carrot
large garlic cloves,garlic
large eggs,egg
bean sprouts,bean sprout
scallions,scallion / spring onion / green onion
peanuts,peanut
chopped cilantro,coriander / cilantro
lime wedges,lime wedge
minced garlic,garlic
palm sugar,sugar
tamarind paste,tamarind concentrate / tamarind paste / tamarind juice
asian fish sauce,fish sauce
fresh lime juice,lime juice
pad thai noodles,rice noodle
canola oil,canola oil
large shrimp,shrimp
red pepper flakes,chili flakes
eggs,egg
extra firm tofu,firm tofu
carrots,carrot
green onions,scallion / spring onion / green onion
cilantro leaves,coriander / cilantro
roasted peanuts,peanut
soybean sprouts,bean sprout
chicken,chicken
tamarind juice,tamarind concentrate / tamarind paste / tamarind juice
sugar,sugar
spring onions,scallion / spring onion / green onion
chili powder,chili powder
oil,oil
salt,salt
crushed garlic,garlic
rice stick noodles,rice vermicelli
boiling water,water
limes,lime
light brown sugar,brown sugar
chili garlic sauce,chili garlic sauce
worcestershire sauce,worcestershire sauce
roasted salted peanuts,peanut
peeled and deveined shrimp,shrimp
maple syrup,maple syrup
peanut butter,peanut butter
garlic,garlic
chicken breasts,chicken breast
fresh ginger,minced ginger
chili,chili
zucchinis,zucchini / courgette / baby marrow
carrot,carrot
spring onion,scallion / spring onion / green onion
coriander leaves,coriander / cilantro
lime,lime
extra-virgin olive oil,olive oil
brown sugar,brown sugar
cilantro,coriander / cilantro
cooked meat,meat
sambal oelek,chili paste
coconut oil,coconut oil
broccoli slaw,broccoli slaw
large carrots,carrot
shrimp,shrimp
fresh cilantro,coriander / cilantro
roasted unsalted cashews,cashew
egg,egg
broth,broth
red peppers,pepper
red chili flakes,chili flakes
broccoli florets,broccoli
dry roasted peanuts,peanut
chopped fresh cilantro,coriander / cilantro
red chile,red chili
shallots,shallot
oyster sauce,oyster sauce
thai fish sauce,fish sauce
unsalted roasted peanuts,peanut
water,water
firm tofu,firm tofu
dried shrimp,dried shrimp
daikon radishes,radish
sriracha sauce,sriracha sauce
chinese chives,chinese chive
peanut oil,peanut oil
raw sugar,raw sugar
rice vinegar,vinegar
minced ginger,minced ginger
shallot,shallot
lemongrass,lemongrass
cooked shrimp,shrimp
boneless chicken breast,chicken breast
japanese noodles,japanese noodle
red chili,red chili
ginger,minced ginger
chicken stock,chicken stock
black pepper,ground black pepper
sesame oil,sesame oil
garlic clove,garlic
boneless skinless chicken thighs,chicken thigh
pepper,pepper
chili paste,chili paste
low sodium soy sauce,soy sauce
jalapeño,red chili
thai basil,thai basil
crushed red pepper,chili flakes
zucchini,zucchini / courgette / baby marrow
olive oil,olive oil
large egg,egg
ketchup,ketchup
cayenne pepper,pepper
tofu,tofu
cilantro sprigs,coriander / cilantro
ground red pepper,ground pepper
soy,soy
garlic cloves,garlic
cornstarch,starch
chicken broth,chicken broth
medium eggs,egg
thai noodles,rice noodle
thai bird chiles,thai chili
medium shrimp,shrimp
light coconut milk,coconut milk
reduced sodium soy sauce,soy sauce
mung bean sprouts,bean sprout
hot red pepper flakes,chili flakes
chicken meat,chicken
extra virgin coconut oil,coconut oil
coconut aminos,coconut aminos
coconut vinegar,vinegar
tamari,soy sauce
cabbage,cabbage
chilli flakes,chili flakes
sweet chili sauce,chili sauce
tamarind puree,tamarind concentrate / tamarind paste / tamarind juice
cooking oil,oil
garlic chives,chinese chive
ground chili,ground pepper
condiments,condiments
chopped peanuts,peanut
brown rice noodles,rice noodle
snap peas,snap pea
avocado oil,avocado oil
sauce,pad thai sauce
honey,honey
chilli,chili
tomato paste,tomato paste
apple cider vinegar,vinegar
ground cayenne pepper,ground pepper
olive oil cooking spray,olive oil
egg white,egg white
green cabbage,cabbage
large carrot,carrot
dried rice noodles,rice noodle
table salt,salt
sliced green onions,scallion / spring onion / green onion
chopped fresh mint,mint
juice concentrate,juice
vinegar,vinegar
dried chili,chili
shirataki noodles,shirataki noodle
onion,onion
red pepper,pepper
ginger garlic paste,ginger garlic paste
coconut milk,coconut milk
lemon juice,lemon juice
splenda,sweetener
cumin powder,cumin powder
ground coriander,coriander / cilantro
chili flakes,chili flakes
clove,clove
prawns,shrimp
leaves,leaves
mustard,mustard
shrimp paste,shrimp paste
preserved radishes,preserved radish
chive,chinese chive
banana blossom,banana blossom
kelp noodles,kelp noodle
purple cabbage,cabbage
yellow bell pepper,bell pepper
sesame seeds,sesame
cashews,cashew
ginger root,minced ginger
tamari sauce,soy sauce
agave,agave syrup
chili sauce,chili sauce
dark brown sugar,brown sugar
coarse salt,salt
coconut sugar,sugar
safflower oil,safflower oil
"boneless, skinless chicken breast",chicken breast
unsalted peanuts,peanut
"boneless, skinless chicken breasts",chicken breast
matchstick carrots,carrot
pressed tofu,tofu
radish,radish
tamarind water,tamarind concentrate / tamarind paste / tamarind juice
simple syrup,syrup
dried thai chiles,thai chili
flat rice sticks,rice noodle
chilli powder,chili powder
groundnut oil,peanut oil
beansprouts,bean sprout
salted peanuts,peanut
boneless pork loin,pork
fresh cilantro leaves,coriander / cilantro
english cucumber,cucumber
lettuce leaves,lettuce
thai chile,thai chili
yellow pepper,pepper
noodles,rice noodle
scallion,scallion / spring onion / green onion
mushrooms,mushroom
turmeric,turmeric
agave syrup,agave syrup
fresh coriander,coriander / cilantro
sesame,sesame
spaghetti squash,spaghetti squash
yellow onion,yellow onion
boneless chicken,chicken
tamarind pulp,tamarind concentrate / tamarind paste / tamarind juice
hoisin sauce,hoisin sauce
chilli sauce,chili sauce
lemon,lemon
greens,greens
rapeseed oil,rapeseed oil
thai chili,thai chili
courgette,zucchini / courgette / baby marrow
frozen broad beans,broad bean
pak choi,pak choi
pineapple,pineapple
fresh lime,lime
coriander,coriander / cilantro
garlic powder,garlic powder
red chilli,red chili
vegetables,vegetable
ramen noodles,japanese noodle
frozen mixed vegetables,frozen vegetable
teriyaki sauce,teriyaki sauce
hot water,water
lime peel,lime peel
garlic paste,garlic
cloves,clove
toasted sesame oil,sesame oil
hot sauce,chili sauce
chopped onion,onion
rice wine vinegar,vinegar
grapeseed oil,grapeseed oil
agave nectar,agave syrup
vegetable broth,vegetable broth
green onion,scallion / spring onion / green onion
thin rice sticks,rice vermicelli
demerara sugar,raw sugar
light soy sauce,soy sauce
diced chicken breast,chicken breast
rice paper wrappers,rice paper wrappers
sliced carrots,carrot
tamari soy sauce,soy sauce
garlic chili sauce,chili garlic sauce
peanut sauce,peanut sauce
butternut squash,butternut squash
nutritional yeast,yeast
frozen vegetables,frozen vegetable
wok oil,oil
chopped garlic,garlic
crushed pineapple,pineapple
ground ginger,ground ginger
white onion,white onion
garlic chili paste,chili garlic sauce
red onion,red onion
sriracha hot sauce,sriracha sauce
linguini,spaghetti
broccoli,broccoli
red cabbage,cabbage
edamame,edamame
asparagus,asparagus
liquid aminos,liquid aminos
low sodium chicken broth,chicken broth
gluten free soy sauce,soy sauce
boneless skinless chicken breasts,chicken breast
frozen stir fry vegetables,frozen vegetable
medium zucchini,zucchini / courgette / baby marrow
sugar snap peas,snap pea
crushed red pepper flakes,chili flakes
chopped almonds,almond
pad thai rice noodles,rice noodle
pork,pork
toasted sesame seeds,sesame
pepper sauce,chili sauce
peanut butter creamy,peanut butter
red chilies,red chili
chopped leaves,leaves
whole wheat spaghetti,spaghetti
natural peanut butter,peanut butter
pure maple syrup,maple syrup
snow peas,snow pea
unsalted dry roasted peanuts,peanut
dark soy sauce,soy sauce
chicken thigh,chicken thigh
peeled shrimp,shrimp
sprouts,bean sprout
tahini,tahini
liquid sweetener,sweetener
dates,date palm
sunflower oil,sunflower oil
cooked chicken breast,chicken breast
large free range eggs,egg
iceberg lettuce,lettuce
almond butter,almond butter
rice sticks,rice vermicelli
deveined shrimp,shrimp
chives,chinese chive
tamarind,tamarind concentrate / tamarind paste / tamarind juice
warm water,water
kosher salt,salt
fresh ground black pepper,ground black pepper
reduced salt soy sauce,soy sauce
small carrots,carrot
red capsicum,pepper
small carrot,carrot
light olive oil,olive oil
dried chili flakes,chili flakes
extra virgin olive oil,olive oil
grated carrots,carrot
green beans,green bean
curry powder,curry powder
black sesame seeds,sesame
siracha,sriracha sauce
sriracha hot chili sauce,sriracha sauce
powdered ginger,minced ginger
sunflower seed butter,sunflower butter
chicken thighs,chicken thigh
large egg whites,egg
rice sticks noodles,rice vermicelli
fried tofu,tofu
chinese rice vinegar,vinegar
shiitake mushrooms,mushroom
kaffir lime leaves,kaffir lime leaf
sweet chilli sauce,chili sauce
vegetable stock,vegetable stock
nori,seaweed
yellow summer squash,yellow summer squash
wide rice noodles,rice noodle
kale,kale
asian sweet chili sauce,chili sauce
packed brown sugar,brown sugar
